date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:24	245/245	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Aug%202022%2020:12:24%20GMT	https://multifix-link.com/en/connect	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect	(from https://multifix-link.com/en/)
21:12:25	58806/58806	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20May%202022%2001:36:41%20GMT	https://multifix-link.com/en/connect/	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/index.html	(from https://multifix-link.com/en/)
21:12:25	10640/10640	---M--	200	added ('OK')	text/javascript	etag:%22e0f3ff9e353e6b0995c75c6dae9ca04d%22	https://s3.tradingview.com/external-embedding/embed-widget-screener.js	C:/Users/User/Documents/WEB3/Adekunle%20travel/s3.tradingview.com/external-embedding/embed-widget-screener.js	(from https://multifix-link.com/en/)
21:12:27	185121/185121	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2004:51:08%20GMT	https://multifix-link.com/en/assets/images/Telegram-Logo.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/assets/images/Telegram-Logo.png	(from https://multifix-link.com/en/)
21:12:27	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262f29387-4d7%22	https://multifix-link.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://multifix-link.com/en/)
21:12:28	1238263/1238263	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20May%202022%2005:07:02%20GMT	https://multifix-link.com/en/connect/assets/css/nicepage.css	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/css/nicepage.css	(from https://multifix-link.com/en/connect/)
21:12:29	57412/57412	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20May%202022%2005:07:02%20GMT	https://multifix-link.com/en/connect/assets/css/wallets.css	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/css/wallets.css	(from https://multifix-link.com/en/connect/)
21:12:30	150952/150952	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20May%202022%2005:07:02%20GMT	https://multifix-link.com/en/connect/assets/js/jquery.js	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/js/jquery.js	(from https://multifix-link.com/en/connect/)
21:12:31	315801/315801	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20May%202022%2005:07:02%20GMT	https://multifix-link.com/en/connect/assets/js/nicepage.js	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/js/nicepage.js	(from https://multifix-link.com/en/connect/)
21:12:31	1103/1103	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:06%20GMT	https://multifix-link.com/en/connect/assets/images/favicon.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/favicon.png	(from https://multifix-link.com/en/connect/)
21:12:32	98760/98760	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/logo.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/logo.png	(from https://multifix-link.com/en/connect/)
21:12:33	4441/4441	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/meta.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/meta.png	(from https://multifix-link.com/en/connect/)
21:12:34	587/587	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/trust.svg	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/trust.svg	(from https://multifix-link.com/en/connect/)
21:12:34	7709/7709	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/safepal.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/safepal.png	(from https://multifix-link.com/en/connect/)
21:12:35	12085/12085	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/ledger.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/ledger.png	(from https://multifix-link.com/en/connect/)
21:12:36	173874/173874	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/math.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/math.png	(from https://multifix-link.com/en/connect/)
21:12:37	18102/18102	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/coin98.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/coin98.png	(from https://multifix-link.com/en/connect/)
21:12:38	36212/36212	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/phantom.html	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/phantom.html	(from https://multifix-link.com/en/connect/)
21:12:38	4462/4462	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/sollet.jpg	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/sollet.jpg	(from https://multifix-link.com/en/connect/)
21:12:39	28581/28581	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/solflare.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/solflare.png	(from https://multifix-link.com/en/connect/)
21:12:43	6742/6742	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/trezor.jpg	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/trezor.jpg	(from https://multifix-link.com/en/connect/)
21:12:44	21766/21766	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/terra.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/terra.png	(from https://multifix-link.com/en/connect/)
21:12:44	12302/12302	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/imtoken.jpg	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/imtoken.jpg	(from https://multifix-link.com/en/connect/)
21:12:45	103975/103975	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/tron-trx-logo1.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/tron-trx-logo1.png	(from https://multifix-link.com/en/connect/)
21:12:46	50877/50877	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/Zilliqa-ZIL-icon1.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/Zilliqa-ZIL-icon1.png	(from https://multifix-link.com/en/connect/)
21:12:47	90801/90801	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/fantom-ftm-logo1.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/fantom-ftm-logo1.png	(from https://multifix-link.com/en/connect/)
21:12:47	11164/11164	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/moonlet.jpg	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/moonlet.jpg	(from https://multifix-link.com/en/connect/)
21:12:48	4306/4306	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/bitkeep.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/bitkeep.png	(from https://multifix-link.com/en/connect/)
21:12:48	84097/84097	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/avalanche-avax-logo1.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/avalanche-avax-logo1.png	(from https://multifix-link.com/en/connect/)
21:12:49	20498/20498	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/tokenocket.html	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/tokenocket.html	(from https://multifix-link.com/en/connect/)
21:12:49	44318/44318	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/guarda.jpg	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/guarda.jpg	(from https://multifix-link.com/en/connect/)
21:12:50	6741/6741	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/tezos1.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/tezos1.png	(from https://multifix-link.com/en/connect/)
21:12:51	27682/27682	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/harmony1.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/harmony1.png	(from https://multifix-link.com/en/connect/)
21:12:52	7131/7131	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/algo1.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/algo1.png	(from https://multifix-link.com/en/connect/)
21:12:53	3556/3556	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/cbase.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/cbase.png	(from https://multifix-link.com/en/connect/)
21:12:54	6164/6164	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/CRYOT.COM.jpg	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/CRYOT.COM.jpg	(from https://multifix-link.com/en/connect/)
21:12:55	3420/3420	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/MEW.html	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/MEW.html	(from https://multifix-link.com/en/connect/)
21:12:56	20498/20498	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/TOKENPOKET.html	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/TOKENPOKET.html	(from https://multifix-link.com/en/connect/)
21:12:57	10757/10757	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/Polkadot_symbol_color.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/Polkadot_symbol_color.png	(from https://multifix-link.com/en/connect/)
21:12:58	47433/47433	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/EXODUS.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/EXODUS.png	(from https://multifix-link.com/en/connect/)
21:12:59	7549/7549	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/COINOMI.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/COINOMI.png	(from https://multifix-link.com/en/connect/)
21:13:00	3616/3616	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/bnb.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/bnb.png	(from https://multifix-link.com/en/connect/)
21:13:01	363216/363216	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/atom.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/atom.png	(from https://multifix-link.com/en/connect/)
21:13:02	15825/15825	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/GNOSIS.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/GNOSIS.png	(from https://multifix-link.com/en/connect/)
21:13:02	19282/19282	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/LIVE.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/LIVE.png	(from https://multifix-link.com/en/connect/)
21:13:03	2942/2942	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/HUOBI.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/HUOBI.png	(from https://multifix-link.com/en/connect/)
21:13:04	8786/8786	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/WC.jpg	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/WC.jpg	(from https://multifix-link.com/en/connect/)
21:13:05	185121/185121	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2005:07:04%20GMT	https://multifix-link.com/en/connect/assets/images/Telegram-Logo.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/connect/assets/images/Telegram-Logo.png	(from https://multifix-link.com/en/connect/)
